network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
GNSS,SSUN,水上,SSUN,23.41415,120.37778,44.2873,2005-11-21,2599-12-31,嘉義縣,水上鄉
GNSS,STA1,獅潭1,STA1,24.6356,120.97926,149.8247,2008-01-24,2024-01-28,苗栗縣,南庄鄉
GNSS,STAN,獅潭,STAN,24.48728,120.87307,767.2850,2004-01-01,2008-01-24,苗栗縣,南庄鄉
GNSS,SUA2,蘇澳2,SUA2,24.61575,121.84771,25.8356,2017-07-07,2599-12-31,宜蘭縣,蘇澳鎮
GNSS,SUAN,蒜頭,SUAN,23.47758,120.29989,31.2257,2002-12-11,2599-12-31,嘉義縣,太保市
GNSS,SUAO,蘇澳,SUAO,24.59239,121.86708,24.2842,1997-03-31,2017-07-07,宜蘭縣,蘇澳鎮
GNSS,SUC2,雙崎2,SUC2,24.29149,120.90909,582.6705,2015-10-19,2599-12-31,臺中市,和平區
GNSS,SUCH,雙崎,SUCH,24.29107,120.90759,567.4207,2005-11-18,2015-10-19,臺中市,和平區
GNSS,SUN1,日月潭1,SUN1,23.88124,120.90835,1036.1919,1999-10-08,2599-12-31,南投縣,魚池鄉
GNSS,SYAN,向陽,SYAN,23.248,120.98676,2327.3845,2008-12-18,2016-05-13,臺東縣,關山鎮
GNSS,TACC,新屋,TACC,25.00729,121.04856,42.5001,2012-01-01,2599-12-31,桃園市,新屋區
GNSS,TAIP,汐止,TAIP,25.03453,121.67318,527.0554,2004-05-12,2023-01-04,新北市,汐止區
GNSS,TAN2,淡水2,TAN2,25.1785,121.43136,68.3385,2015-11-10,2599-12-31,新北市,淡水區
GNSS,TANS,淡水,TANS,25.1815,121.4269,30.4845,2005-04-12,2015-11-10,新北市,淡水區
GNSS,TATA,塔塔加,TATA,23.4814,120.88705,2651.3862,2004-01-02,2599-12-31,南投縣,信義鄉
GNSS,TCHN,頭城,TCHN,24.85357,121.83017,26.3420,2023-12-14,2599-12-31,宜蘭縣,頭城鎮
GNSS,TEGS,鐵砧山,TEGS,24.35621,120.65499,255.9234,2002-12-24,2599-12-31,臺中市,外埔區
GNSS,THAI,泰崗,THAI,24.60712,121.2956,1520.3267,2002-01-30,2023-12-21,新竹縣,尖石鄉
GNSS,TMAL,太麻里,TMAL,22.64892,120.95988,1189.1933,2007-01-05,2599-12-31,臺東縣,太麻里鄉
GNSS,TSHI,金山,TSHI,25.25691,121.63277,50.3734,2004-05-18,2599-12-31,新北市,金山區
GNSS,TSIO,通霄城中,TSIO,24.4728,120.70411,63.6469,2006-03-14,2599-12-31,苗栗縣,通霄鎮
GNSS,TSLN,草嶺,TSLN,23.63433,120.71939,1602.4847,2007-04-25,2599-12-31,雲林縣,古坑鄉
GNSS,TTCS,池上福原國小,TTCS,23.12491,121.21513,312.8611,2016-12-31,2599-12-31,臺東縣,池上鄉
GNSS,TTUN,臺東體中,TTUN,22.76455,121.08071,100.2905,2003-01-07,2599-12-31,臺東縣,臺東市
GNSS,TUCN,土場,TUCN,24.57484,121.49614,395.1783,2004-03-09,2015-08-08,宜蘭縣,大同鄉
GNSS,TUNM,銅門,TUNM,23.96521,121.49358,195.0754,2001-11-01,2599-12-31,花蓮縣,秀林鄉
GNSS,TUNS,東山,TUNS,23.31724,120.40405,54.3752,2002-12-14,2599-12-31,臺南市,東山區
GNSS,WALI,萬里國小,WALI,25.1758,121.68938,41.2986,2019-01-03,2599-12-31,新北市,萬里區
GNSS,WAN2,萬里2,WAN2,25.16901,121.63726,370.8396,2015-12-28,2017-12-28,新北市,萬里區
GNSS,WANC,灣丘,WANC,23.18684,120.52634,341.6924,2004-05-07,2024-03-20,臺南市,楠西區
GNSS,WANL,萬里,WANL,25.16939,121.63757,370.3920,2004-05-18,2015-12-28,新北市,萬里區
GNSS,WANS,望鄉,WANS,23.60751,120.8852,942.5031,2005-05-06,2599-12-31,南投縣,信義鄉
GNSS,WDAN,萬丹,WDAN,22.60606,120.50432,36.4632,2005-09-29,2599-12-31,屏東縣,萬丹鄉
GNSS,WFEN,地震教育園區,WFEN,24.04195,120.69948,102.8056,2006-05-09,2599-12-31,臺中市,霧峰區
GNSS,WIPN,北埔外坪,WIPN,24.67464,121.05856,210.7418,2004-12-09,2599-12-31,新竹縣,北埔鄉
GNSS,WUKU,五股坑,WUKU,25.11728,121.40067,225.8817,2004-04-15,2599-12-31,新北市,五股區
GNSS,YAME,楊梅,YAME,24.90846,121.1853,218.8461,2004-02-05,2599-12-31,桃園市,楊梅區
GNSS,YENL,東管處,YENL,23.90351,121.60185,88.2263,2002-12-26,2599-12-31,花蓮縣,壽豐鄉
GNSS,YLSS,三星國中,YLSS,24.66792,121.65301,123.3160,2015-10-16,2599-12-31,宜蘭縣,三星鄉
GNSS,YNTS,圓通寺,YNTS,24.86174,121.77894,487.0438,2004-03-10,2023-12-08,宜蘭縣,頭城鎮
GNSS,YSAN,七股鹽山,YSAN,23.14655,120.08599,23.9132,2004-11-25,2023-12-05,臺南市,七股區
GNSS,YUL1,玉里1,YUL1,23.32138,121.30021,197.5667,2010-12-19,2599-12-31,花蓮縣,玉里鎮
GNSS,YULI,玉里,YULI,23.34093,121.30114,208.2727,2001-12-19,2010-12-02,花蓮縣,玉里鎮
GNSS,YUSN,玉山,YUSN,23.4873,120.95914,3879.6411,1997-07-01,2599-12-31,南投縣,信義鄉
GNSS,ZEND,仁德,ZEND,22.94328,120.21757,36.0827,2005-11-07,2599-12-31,臺南市,仁德區
GNSS,ZUZH,竹子湖,ZUZH,25.16239,121.5438,238.0000,2018-03-27,2599-12-31,台北市,北投區
